# NoaChess opening table.
#
# One line per opening: ECO code, name, and the moves that reach it in SAN.
# Fields are separated by tabs. Lines starting with # are ignored.
#
# This is a COMPACT table of main lines, not the full ECO index. Every entry
# here is a well established name for the position it points at; the deeper
# sub-variations are deliberately left out rather than guessed at, because a
# confidently wrong opening name is worse than no name at all.
#
# Matching is by POSITION, not by move order, so a line reached by transposition
# is named correctly. Add your own lines freely: the file is read at startup and
# the longest match along the game wins.

A01	Nimzo-Larsen Attack	b3
A02	Bird's Opening	f4
A04	Reti Opening	Nf3
A10	English Opening	c4
A15	English, Anglo-Indian Defence	c4 Nf6
A20	English, King's English	c4 e5
A30	English, Symmetrical	c4 c5
A40	Queen's Pawn Opening	d4
A41	Old Indian Defence	d4 d6
A43	Old Benoni Defence	d4 c5
A45	Trompowsky Attack	d4 Nf6 Bg5
A46	Queen's Pawn Game	d4 Nf6 Nf3
A48	London System	d4 Nf6 Nf3 g6 Bf4
A50	Queen's Pawn, Indian Defence	d4 Nf6 c4
A56	Benoni Defence	d4 Nf6 c4 c5
A57	Benko Gambit	d4 Nf6 c4 c5 d5 b5
A80	Dutch Defence	d4 f5

B00	King's Pawn Opening	e4
B01	Scandinavian Defence	e4 d5
B02	Alekhine's Defence	e4 Nf6
B06	Modern Defence	e4 g6
B07	Pirc Defence	e4 d6 d4 Nf6
B10	Caro-Kann Defence	e4 c6
B12	Caro-Kann, Advance Variation	e4 c6 d4 d5 e5
B13	Caro-Kann, Exchange Variation	e4 c6 d4 d5 exd5
B15	Caro-Kann, Main Line	e4 c6 d4 d5 Nc3
B18	Caro-Kann, Classical Variation	e4 c6 d4 d5 Nc3 dxe4 Nxe4 Bf5
B20	Sicilian Defence	e4 c5
B21	Sicilian, Smith-Morra Gambit	e4 c5 d4
B22	Sicilian, Alapin Variation	e4 c5 c3
B23	Sicilian, Closed	e4 c5 Nc3
B27	Sicilian Defence	e4 c5 Nf3
B30	Sicilian, Old Sicilian	e4 c5 Nf3 Nc6
B40	Sicilian, French Variation	e4 c5 Nf3 e6
B50	Sicilian Defence	e4 c5 Nf3 d6
B54	Sicilian, Open	e4 c5 Nf3 d6 d4 cxd4 Nxd4
B70	Sicilian, Dragon Variation	e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6
B80	Sicilian, Scheveningen Variation	e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 e6
B90	Sicilian, Najdorf Variation	e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6

C00	French Defence	e4 e6
C02	French, Advance Variation	e4 e6 d4 d5 e5
